cve_id,asset,cvss_score,epss_score,in_kev,risk_description
CVE-2024-30040,Windows 10 Pro,8.8,0.23487,True,CVE CVE-2024-30040 affects Windows 10 Pro. EPSS score 0.2349 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-2441,Google Chrome,8.8,0.23127,True,CVE CVE-2026-2441 affects Google Chrome. EPSS score 0.2313 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-30397,Windows Server 2022,7.5,0.20737,True,CVE CVE-2025-30397 affects Windows Server 2022. EPSS score 0.2074 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-30397,Windows 10 Pro,7.5,0.20737,True,CVE CVE-2025-30397 affects Windows 10 Pro. EPSS score 0.2074 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21533,Windows Server 2022,7.8,0.20196,True,CVE CVE-2026-21533 affects Windows Server 2022. EPSS score 0.2020 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21533,Windows 10 Pro,7.8,0.20196,True,CVE CVE-2026-21533 affects Windows 10 Pro. EPSS score 0.2020 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43573,Windows Server 2022,6.5,0.17703,True,CVE CVE-2024-43573 affects Windows Server 2022. EPSS score 0.1770 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43573,Windows 10 Pro,6.5,0.17703,True,CVE CVE-2024-43573 affects Windows 10 Pro. EPSS score 0.1770 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38217,Windows Server 2022,5.4,0.13773,True,CVE CVE-2024-38217 affects Windows Server 2022. EPSS score 0.1377 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38217,Windows 10 Pro,5.4,0.13773,True,CVE CVE-2024-38217 affects Windows 10 Pro. EPSS score 0.1377 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38080,Windows Server 2022,7.8,0.13653,True,CVE CVE-2024-38080 affects Windows Server 2022. EPSS score 0.1365 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21418,Windows Server 2022,7.8,0.1327,True,CVE CVE-2025-21418 affects Windows Server 2022. EPSS score 0.1327 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2025-21418,Windows 10 Pro,7.8,0.1327,True,CVE CVE-2025-21418 affects Windows 10 Pro. EPSS score 0.1327 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38014,Windows Server 2022,7.8,0.12828,True,CVE CVE-2024-38014 affects Windows Server 2022. EPSS score 0.1283 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-38014,Windows 10 Pro,7.8,0.12828,True,CVE CVE-2024-38014 affects Windows 10 Pro. EPSS score 0.1283 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21509,Microsoft 365 Apps for Business,7.8,0.1253,True,CVE CVE-2026-21509 affects Microsoft 365 Apps for Business. EPSS score 0.1253 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-34621,Adobe Acrobat Reader DC,8.6,0.12155,True,CVE CVE-2026-34621 affects Adobe Acrobat Reader DC. EPSS score 0.1216 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-21351,Windows Server 2022,7.6,0.10667,True,CVE CVE-2024-21351 affects Windows Server 2022. EPSS score 0.1067 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-21351,Windows 10 Pro,7.6,0.10667,True,CVE CVE-2024-21351 affects Windows 10 Pro. EPSS score 0.1067 indicates high exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43461,Windows Server 2022,8.8,0.09898,True,CVE CVE-2024-43461 affects Windows Server 2022. EPSS score 0.0990 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2024-43461,Windows 10 Pro,8.8,0.09898,True,CVE CVE-2024-43461 affects Windows 10 Pro. EPSS score 0.0990 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21525,Windows Server 2022,6.2,0.09386,True,CVE CVE-2026-21525 affects Windows Server 2022. EPSS score 0.0939 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
CVE-2026-21525,Windows 10 Pro,6.2,0.09386,True,CVE CVE-2026-21525 affects Windows 10 Pro. EPSS score 0.0939 indicates moderate exploitation probability. Actively exploited in the wild (CISA KEV confirmed).
